dt,temp
2021-04-27 00:00:00,12.71
2021-04-27 00:30:00,12.71
2021-04-27 01:00:00,12.71
2021-04-27 01:30:00,12.71
2021-04-27 02:00:00,12.71
2021-04-27 02:30:00,12.71
2021-04-27 03:00:00,12.71
2021-04-27 03:30:00,12.71
2021-04-27 04:00:00,12.71
2021-04-27 04:30:00,12.71
2021-04-27 05:00:00,12.71
2021-04-27 05:30:00,12.71
2021-04-27 06:00:00,12.71
2021-04-27 06:30:00,12.78
2021-04-27 07:00:00,12.86
2021-04-27 07:30:00,12.98
2021-04-27 08:00:00,13.1
2021-04-27 08:30:00,13.22
2021-04-27 09:00:00,13.33
2021-04-27 09:30:00,13.51
2021-04-27 10:00:00,13.69
2021-04-27 10:30:00,13.8
2021-04-27 11:00:00,13.91
2021-04-27 11:30:00,14.27
2021-04-27 12:00:00,14.63
2021-04-27 12:30:00,16.92
2021-04-27 13:00:00,19.2
2021-04-27 13:30:00,18.4
2021-04-27 14:00:00,17.6
2021-04-27 14:30:00,18.12
2021-04-27 15:00:00,18.64
2021-04-27 15:30:00,18.16
2021-04-27 16:00:00,17.67
2021-04-27 16:30:00,16.63
2021-04-27 17:00:00,15.59
2021-04-27 17:30:00,15.68
2021-04-27 18:00:00,15.76
2021-04-27 18:30:00,14.6
2021-04-27 19:00:00,13.43
2021-04-27 19:30:00,12.84
2021-04-27 20:00:00,12.24
2021-04-27 20:30:00,11.9
2021-04-27 21:00:00,11.55
2021-04-27 21:30:00,11.46
2021-04-27 22:00:00,11.37
2021-04-27 22:30:00,11.4
2021-04-27 23:00:00,11.42
2021-04-28 00:00:00,12.8
2021-04-28 00:30:00,12.37
2021-04-28 01:00:00,11.94
2021-04-28 01:30:00,11.82
2021-04-28 02:00:00,11.7
2021-04-28 02:30:00,11.52
2021-04-28 03:00:00,11.34
2021-04-28 03:30:00,10.93
2021-04-28 04:00:00,10.52
2021-04-28 04:30:00,10.42
2021-04-28 05:00:00,10.33
2021-04-28 05:30:00,10.74
2021-04-28 06:00:00,11.14
2021-04-28 06:30:00,11.44
2021-04-28 07:00:00,11.75
2021-04-28 07:30:00,11.62
2021-04-28 08:00:00,11.5
2021-04-28 08:30:00,11.54
2021-04-28 09:00:00,11.57
2021-04-28 09:30:00,11.78
2021-04-28 10:00:00,12.0
2021-04-28 10:30:00,12.54
2021-04-28 11:00:00,13.07
2021-04-28 11:30:00,13.3
2021-04-28 12:00:00,13.53
2021-04-28 12:30:00,13.22
2021-04-28 13:00:00,12.91
2021-04-28 13:30:00,13.23
2021-04-28 14:00:00,13.55
2021-04-28 14:30:00,13.26
2021-04-28 15:00:00,12.97
2021-04-28 15:30:00,12.82
2021-04-28 16:00:00,12.68
2021-04-28 16:30:00,12.7
2021-04-28 17:00:00,12.72
2021-04-28 17:30:00,12.48
2021-04-28 18:00:00,12.24
2021-04-28 18:30:00,11.88
2021-04-28 19:00:00,11.51
2021-04-28 19:30:00,11.16
2021-04-28 20:00:00,10.82
2021-04-28 20:30:00,10.9
2021-04-28 21:00:00,10.99
2021-04-28 21:30:00,10.83
2021-04-28 22:00:00,10.67
2021-04-28 22:30:00,10.62
2021-04-28 23:00:00,10.56
2021-04-29 00:00:00,11.03
2021-04-29 00:30:00,10.67
2021-04-29 01:00:00,10.31
2021-04-29 01:30:00,10.28
2021-04-29 02:00:00,10.24
2021-04-29 02:30:00,10.07
2021-04-29 03:00:00,9.89
2021-04-29 03:30:00,9.75
2021-04-29 04:00:00,9.62
2021-04-29 04:30:00,9.52
2021-04-29 05:00:00,9.42
2021-04-29 05:30:00,10.18
2021-04-29 06:00:00,10.93
2021-04-29 06:30:00,10.4
2021-04-29 07:00:00,9.86
2021-04-29 07:30:00,10.26
2021-04-29 08:00:00,10.66
2021-04-29 08:30:00,10.8
2021-04-29 09:00:00,10.93
2021-04-29 09:30:00,10.82
2021-04-29 10:00:00,10.7
2021-04-29 10:30:00,10.89
2021-04-29 11:00:00,11.08
2021-04-29 11:30:00,10.82
2021-04-29 12:00:00,10.57
2021-04-29 12:30:00,10.72
2021-04-29 13:00:00,10.87
2021-04-29 13:30:00,10.97
2021-04-29 14:00:00,11.07
2021-04-29 14:30:00,11.7
2021-04-29 15:00:00,12.33
2021-04-29 15:30:00,12.35
2021-04-29 16:00:00,12.37
2021-04-29 16:30:00,11.92
2021-04-29 17:00:00,11.46
2021-04-29 17:30:00,11.1
2021-04-29 18:00:00,10.73
2021-04-29 18:30:00,10.72
2021-04-29 19:00:00,10.71
2021-04-29 19:30:00,10.32
2021-04-29 20:00:00,9.93
2021-04-29 20:30:00,9.64
2021-04-29 21:00:00,9.35
2021-04-29 21:30:00,9.41
2021-04-29 22:00:00,9.48
2021-04-29 22:30:00,8.88
2021-04-29 23:00:00,8.27
2021-04-30 00:00:00,7.76
2021-04-30 00:30:00,8.0
2021-04-30 01:00:00,8.24
2021-04-30 01:30:00,8.27
