dt,temp
2021-04-28 00:00:00,13.12
2021-04-28 00:30:00,12.92
2021-04-28 01:00:00,12.72
2021-04-28 01:30:00,12.56
2021-04-28 02:00:00,12.39
2021-04-28 02:30:00,12.26
2021-04-28 03:00:00,12.14
2021-04-28 03:30:00,12.0
2021-04-28 04:00:00,11.87
2021-04-28 04:30:00,11.82
2021-04-28 05:00:00,11.76
2021-04-28 05:30:00,11.88
2021-04-28 06:00:00,12.01
2021-04-28 06:30:00,12.0
2021-04-28 07:00:00,12.0
2021-04-28 07:30:00,12.2
2021-04-28 08:00:00,12.39
2021-04-28 08:30:00,13.14
2021-04-28 09:00:00,13.89
2021-04-28 09:30:00,13.52
2021-04-28 10:00:00,13.16
2021-04-28 10:30:00,13.27
2021-04-28 11:00:00,13.38
2021-04-28 11:30:00,14.83
2021-04-28 12:00:00,16.28
2021-04-28 12:30:00,16.18
2021-04-28 13:00:00,16.07
2021-04-28 13:30:00,15.9
2021-04-28 14:00:00,15.73
2021-04-28 14:30:00,15.29
2021-04-28 15:00:00,14.85
2021-04-28 15:30:00,14.52
2021-04-28 16:00:00,14.19
2021-04-28 16:30:00,13.66
2021-04-28 17:00:00,13.13
2021-04-28 17:30:00,12.93
2021-04-28 18:00:00,12.73
2021-04-28 18:30:00,12.62
2021-04-28 19:00:00,12.52
2021-04-28 19:30:00,12.18
2021-04-28 20:00:00,11.84
2021-04-28 20:30:00,11.5
2021-04-28 21:00:00,11.17
2021-04-28 21:30:00,10.98
2021-04-28 22:00:00,10.8
2021-04-28 22:30:00,10.86
2021-04-28 23:00:00,10.91
2021-04-29 00:00:00,10.49
2021-04-29 00:30:00,10.37
2021-04-29 01:00:00,10.25
2021-04-29 01:30:00,10.32
2021-04-29 02:00:00,10.39
2021-04-29 02:30:00,10.1
2021-04-29 03:00:00,9.82
2021-04-29 03:30:00,9.77
2021-04-29 04:00:00,9.72
2021-04-29 04:30:00,9.71
2021-04-29 05:00:00,9.7
2021-04-29 05:30:00,10.11
2021-04-29 06:00:00,10.52
2021-04-29 06:30:00,10.98
2021-04-29 07:00:00,11.44
2021-04-29 07:30:00,12.05
2021-04-29 08:00:00,12.66
2021-04-29 08:30:00,13.24
2021-04-29 09:00:00,13.83
2021-04-29 09:30:00,14.2
2021-04-29 10:00:00,14.58
2021-04-29 10:30:00,14.42
2021-04-29 11:00:00,14.26
2021-04-29 11:30:00,13.98
2021-04-29 12:00:00,13.7
2021-04-29 12:30:00,13.84
2021-04-29 13:00:00,13.98
2021-04-29 13:30:00,13.95
2021-04-29 14:00:00,13.92
2021-04-29 14:30:00,13.52
2021-04-29 15:00:00,13.11
2021-04-29 15:30:00,12.72
2021-04-29 16:00:00,12.32
2021-04-29 16:30:00,12.04
2021-04-29 17:00:00,11.75
2021-04-29 17:30:00,11.41
2021-04-29 18:00:00,11.07
2021-04-29 18:30:00,10.79
2021-04-29 19:00:00,10.51
2021-04-29 19:30:00,10.24
2021-04-29 20:00:00,9.96
2021-04-29 20:30:00,9.8
2021-04-29 21:00:00,9.64
2021-04-29 21:30:00,9.62
2021-04-29 22:00:00,9.59
2021-04-29 22:30:00,9.44
2021-04-29 23:00:00,9.3
2021-04-30 00:00:00,8.98
2021-04-30 00:30:00,9.02
2021-04-30 01:00:00,9.05
2021-04-30 01:30:00,9.01
2021-04-30 02:00:00,8.96
2021-04-30 02:30:00,8.96
2021-04-30 03:00:00,8.97
2021-04-30 03:30:00,8.96
2021-04-30 04:00:00,8.95
2021-04-30 04:30:00,8.91
2021-04-30 05:00:00,8.87
2021-04-30 05:30:00,8.63
2021-04-30 06:00:00,8.39
2021-04-30 06:30:00,8.18
2021-04-30 07:00:00,7.98
2021-04-30 07:30:00,7.96
2021-04-30 08:00:00,7.93
2021-04-30 08:30:00,7.85
2021-04-30 09:00:00,7.77
2021-04-30 09:30:00,7.97
2021-04-30 10:00:00,8.17
2021-04-30 10:30:00,8.53
2021-04-30 11:00:00,8.89
2021-04-30 11:30:00,8.94
2021-04-30 12:00:00,8.99
2021-04-30 12:30:00,9.2
2021-04-30 13:00:00,9.42
2021-04-30 13:30:00,9.76
2021-04-30 14:00:00,10.1
2021-04-30 14:30:00,10.24
2021-04-30 15:00:00,10.37
2021-04-30 15:30:00,10.56
2021-04-30 16:00:00,10.75
2021-04-30 16:30:00,10.6
2021-04-30 17:00:00,10.46
2021-04-30 17:30:00,10.29
2021-04-30 18:00:00,10.12
2021-04-30 18:30:00,9.7
2021-04-30 19:00:00,9.29
2021-04-30 19:30:00,9.0
2021-04-30 20:00:00,8.72
2021-04-30 20:30:00,8.62
2021-04-30 21:00:00,8.51
2021-04-30 21:30:00,8.43
2021-04-30 22:00:00,8.35
2021-04-30 22:30:00,8.33
2021-04-30 23:00:00,8.31
2021-05-01 00:00:00,8.09
2021-05-01 00:30:00,8.0
2021-05-01 01:00:00,7.92
2021-05-01 01:30:00,7.9
2021-05-01 02:00:00,7.88
2021-05-01 02:30:00,7.82
2021-05-01 03:00:00,7.76
2021-05-01 03:30:00,7.7
2021-05-01 04:00:00,7.63
2021-05-01 04:30:00,7.54
2021-05-01 05:00:00,7.44
2021-05-01 05:30:00,7.53
2021-05-01 06:00:00,7.62
2021-05-01 06:30:00,7.8
2021-05-01 07:00:00,7.97
2021-05-01 07:30:00,8.03
2021-05-01 08:00:00,8.09
2021-05-01 08:30:00,8.34
2021-05-01 09:00:00,8.58
2021-05-01 09:30:00,8.71
2021-05-01 10:00:00,8.84
2021-05-01 10:30:00,9.02
2021-05-01 11:00:00,9.19
2021-05-01 11:30:00,9.34
2021-05-01 12:00:00,9.49
2021-05-01 12:30:00,9.59
2021-05-01 13:00:00,9.7
2021-05-01 13:30:00,9.86
2021-05-01 14:00:00,10.02
